species,source,classification
chuck_wills_widow,all_about_birds,Open Woodlands
chukar,all_about_birds,Scrub
cinnamon_teal,all_about_birds,Marshes
clapper_rail,all_about_birds,Marshes
clarks_nutcracker,all_about_birds,Forests
clay_colored_sparrow,all_about_birds,Scrub
clay_colored_sparrow,vickery_1999_facultative,facultative grassland
cliff_swallow,all_about_birds,Lakes and Ponds
common_eider,all_about_birds,Oceans
common_gallinule,all_about_birds,Marshes
common_goldeneye,all_about_birds,Lakes and Ponds
common_grackle,all_about_birds,Open Woodlands
common_ground_dove,all_about_birds,Scrub
common_ground_dove,vickery_1999_facultative,facultative grassland
common_loon,all_about_birds,Lakes and Ponds
common_merganser,all_about_birds,Lakes and Ponds
common_nighthawk,all_about_birds,Grasslands
common_nighthawk,vgbi,facultative grassland
common_nighthawk,vickery_1999_facultative,facultative grassland
common_pauraque,all_about_birds,Forests
common_poorwill,all_about_birds,Scrub
common_poorwill,vickery_1999_facultative,facultative grassland
common_raven,all_about_birds,Forests
common_redpoll,all_about_birds,Open Woodlands
common_snipe,vickery_1999_facultative,facultative grassland
common_tern,all_about_birds,Shorelines
common_yellowthroat,all_about_birds,Scrub
common_yellowthroat,peterjohn_2006,shrubland
common_yellowthroat,vgbi,facultative grassland
common_yellowthroat,vickery_1999_facultative,facultative grassland
connecticut_warbler,all_about_birds,Forests
coopers_hawk,all_about_birds,Forests
coopers_hawk,vgbi,facultative grassland
costas_hummingbird,all_about_birds,Deserts
couchs_kingbird,all_about_birds,Open Woodlands
crested_bobwhite,vickery_1999_facultative,facultative grassland
crested_caracara,all_about_birds,Scrub
crested_caracara,vickery_1999_facultative,facultative grassland
crissal_thrasher,all_about_birds,Scrub
curve_billed_thrasher,all_about_birds,Scrub
dark_eyed_junco,vgbi,facultative grassland
dickcissel,all_about_birds,Grasslands
dickcissel,vickery_1999_obligate,grassland obligate
double_crested_cormorant,all_about_birds,Lakes and Ponds
double_striped_thick_knee,vickery_1999_obligate,grassland obligate
downy_woodpecker,all_about_birds,Forests
downy_woodpecker,vgbi,facultative grassland
dunlin,vickery_1999_facultative,facultative grassland
dusky_capped_flycatcher,all_about_birds,Forests
dusky_flycatcher,all_about_birds,Open Woodlands
dusky_grouse,all_about_birds,Forests
eared_grebe,all_about_birds,Lakes and Ponds
