species,all_about_birds,article-classified,birdbase,birds_of_the_world,hand_entered,partners_in_flight,peterjohn_2006,shrub; forest,traitdata,vgbi,vickery_1999,analysis_class,include
snow_bunting,NA,NA,plains; rocky_areas; artificial; coastal,NA,NA,Tundra:  Arctic; Open Country:  Developed/Disturbed; Coasts:  Beach and Estuary,NA,NA,NA,NA,grassland obligate,obligate,TRUE
snow_goose,NA,NA,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Tundra:  Arctic; Wetlands:  Generalist,NA,NA,NA,NA,facultative grassland,facultative,TRUE
snowy_egret,Marshes,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,NA,NA,facultative,TRUE
snowy_owl,NA,NA,shrub; grasslands; rocky_areas; coastal; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Open Country:  Habitat Mosaic,NA,NA,NA,NA,grassland obligate,obligate,TRUE
social_flycatcher,NA,NA,woodland; shrub; grasslands; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
solitary_sandpiper,Marshes,NA,forest; woodland; savannah; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,NA,facultative,TRUE
song_sparrow,Open Woodlands,NA,woodland; shrub; riparian; coastal,NA,NA,Open Country:  Habitat Mosaic,shrubland,NA,NA,facultative grassland,NA,facultative,TRUE
southern_lapwing,NA,NA,shrub; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
southern_rough_winged_swallow,NA,NA,shrub; grasslands; wetlands_lakes_marsh,NA,NA,Open Country Aerial:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
spotted_nothura,NA,NA,NA,obligate,NA,NA,NA,NA,NA,NA,NA,obligate,TRUE
spragues_pipit,Grasslands,NA,grasslands; plains,NA,NA,Grasslands:  Temperate; Grasslands:  Chihuahuan,NA,NA,NA,NA,grassland obligate,obligate,TRUE
striped_cuckoo,NA,NA,shrub,NA,NA,Open Country:  Habitat Mosaic; Grasslands:  Tropical,NA,NA,NA,NA,NA,facultative,TRUE
striped_owl,NA,NA,woodland; shrub; savannah; artificial; riparian; wetlands_lakes_marsh,NA,NA,Grasslands:  Tropical,NA,NA,NA,NA,facultative grassland,facultative,TRUE
striped_sparrow,NA,NA,woodland; shrub; grasslands,NA,NA,Grasslands:  Tropical,NA,NA,NA,NA,grassland obligate,obligate,TRUE
surfbird,NA,NA,shrub; rocky_areas; coastal,NA,NA,Tundra:  Alpine; Coasts:  Rocky Intertidal,NA,NA,NA,NA,facultative grassland,facultative,TRUE
swainsons_hawk,Grasslands,NA,forest; woodland; grasslands; desert,NA,NA,Grasslands:  Temperate; Grasslands:  Pampas and Campos,NA,NA,NA,NA,grassland obligate,obligate,TRUE
swamp_sparrow,Marshes,NA,woodland; shrub; grasslands; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Wetlands:  Freshwater Marsh; Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,NA,NA,facultative,TRUE
thick_billed_kingbird,Open Woodlands,NA,woodland; shrub; savannah; artificial,NA,NA,Forests:  Tropical Dry,NA,NA,NA,NA,NA,facultative,TRUE
tree_swallow,Lakes and Ponds,NA,woodland; shrub; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands Aerial:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,facultative grassland,NA,facultative,TRUE
tropical_kingbird,NA,NA,shrub; artificial; riparian; coastal,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
tropical_mockingbird,NA,NA,shrub; artificial; coastal,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
tropical_pewee,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
tundra_swan,Lakes and Ponds,NA,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Wetlands:  Generalist,NA,NA,NA,NA,NA,facultative,TRUE
turkey_vulture,Open Woodlands,NA,forest; woodland; shrub; savannah; grasslands; rocky_areas; desert; artificial; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative grassland,facultative,TRUE
upland_sandpiper,Grasslands,NA,savannah; grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Grasslands:  Temperate; Grasslands:  Pampas and Campos,NA,NA,NA,NA,grassland obligate,obligate,TRUE
variable_seedeater,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
veraguan_mango,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
vermilion_flycatcher,Grasslands,NA,woodland; shrub; savannah; desert; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic; Aridlands:  Desert Scrub,NA,NA,NA,NA,NA,facultative,TRUE
vesper_sparrow,Grasslands,NA,forest; shrub; savannah; grasslands; artificial,NA,NA,Grasslands:  Temperate; Grasslands:  Chihuahuan,NA,NA,NA,NA,grassland obligate,obligate,TRUE
violet_green_swallow,Open Woodlands,NA,forest; woodland; coastal,NA,NA,Forest Aerial:  Temperate Western; Forests Aerial:  Mesoamerican Pine-Oak; Open Country Aerial:  Habitat Mosaic; Open Country Aerial:  Developed/Disturbed,NA,NA,NA,NA,NA,facultative,TRUE
virginia_rail,Marshes,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh,NA,NA,NA,NA,NA,facultative,TRUE
west_mexican_euphonia,NA,NA,woodland,NA,NA,Forests:  Tropical Dry; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
western_bluebird,Open Woodlands,NA,woodland; shrub; grasslands,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Aridlands:  Desert Scrub,NA,NA,NA,NA,facultative grassland,facultative,TRUE
western_kingbird,Grasslands,NA,shrub,NA,NA,Grasslands:  Temperate; Aridlands:  Desert Scrub; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative grassland,facultative,TRUE
western_meadowlark,Grasslands,NA,savannah; grasslands; desert; artificial,NA,NA,Grasslands:  Temperate; Grasslands:  Chihuahuan,NA,NA,NA,NA,grassland obligate,obligate,TRUE
western_sandpiper,Shorelines,NA,shrub; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Coasts:  Beach and Estuary; Wetlands:  Seasonally Wet Grasslands,NA,NA,NA,NA,facultative grassland,facultative,TRUE
wheatear,NA,NA,NA,NA,NA,NA,NA,NA,tundra; grassland; mountain_meadows; rocks,NA,NA,facultative,TRUE
whimbrel,Shorelines,NA,NA,NA,NA,Tundra:  Arctic; Wetlands:  Boreal; Coasts:  Beach and Estuary; Coasts:  Saltmarsh,NA,NA,NA,NA,facultative grassland,facultative,TRUE
whinchat,NA,NA,forest; woodland; shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,NA,NA,NA,grassland,NA,NA,obligate,TRUE
white_crowned_sparrow,Scrub,NA,forest; woodland; shrub; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Forests:  Boreal; Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,NA,facultative,TRUE
white_faced_ground_sparrow,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
white_ibis,Marshes,NA,forest; grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist; Coasts:  Mangroves; Coasts:  Saltmarsh,NA,NA,NA,NA,NA,facultative,TRUE
white_rumped_sandpiper,NA,NA,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,facultative grassland,facultative,TRUE
white_stork,NA,NA,savannah; grasslands; artificial; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,NA,NA,facultative,TRUE
white_tailed_hawk,Grasslands,NA,shrub; grasslands; artificial,NA,NA,Forests:  Tropical Dry; Grasslands:  Tropical,NA,NA,NA,NA,NA,facultative,TRUE
white_tailed_kite,Grasslands,NA,woodland; shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
white_tailed_ptarmigan,NA,NA,grasslands; rocky_areas,NA,NA,Tundra:  Alpine,NA,NA,NA,NA,grassland obligate,obligate,TRUE
white_throated_flycatcher,NA,NA,shrub; grasslands; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Wetlands:  Freshwater Marsh; Wetlands:  Seasonally Wet Grasslands,NA,NA,NA,NA,NA,facultative,TRUE
white_throated_sparrow,Forests,NA,woodland; shrub; artificial,NA,NA,Forests:  Boreal; Forests:  Temperate Eastern,NA,NA,NA,facultative grassland,NA,facultative,TRUE
white_throated_swift,Scrub,NA,woodland; shrub; grasslands; plains; rocky_areas; artificial; coastal; wetlands_lakes_marsh,NA,NA,Open Country Aerial:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
white_wagtail,NA,NA,grasslands; rocky_areas; artificial; riparian,NA,NA,Coasts:  Cliffs and Islands; Wetlands:  Lakes and Rivers; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
whooping_crane,NA,NA,forest; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh,NA,NA,NA,NA,facultative grassland,facultative,TRUE
wild_turkey,Open Woodlands,NA,forest; shrub; grasslands; artificial,NA,NA,Forests:  Temperate Generalist,NA,NA,woodland; grassland,facultative grassland,NA,facultative,TRUE
willet,Shorelines,NA,rocky_areas; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Coasts:  Saltmarsh; Coasts:  Beach and Estuary,NA,NA,NA,NA,facultative grassland,facultative,TRUE
willow_flycatcher,NA,NA,woodland; shrub; grasslands,NA,NA,Open Country:  Habitat Mosaic; Forests:  Temperate Western,shrubland,NA,NA,NA,NA,facultative,TRUE
willow_ptarmigan,Tundra,NA,NA,NA,NA,Tundra:  Arctic,NA,NA,NA,NA,facultative grassland,facultative,TRUE
wilsons_phalarope,Lakes and Ponds,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,facultative grassland,facultative,TRUE
wilsons_snipe,Marshes,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist,NA,NA,NA,NA,NA,facultative,TRUE
wood_stork,Marshes,NA,forest; grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Forested; Wetlands:  Freshwater Marsh; Wetlands:  Generalist,NA,NA,NA,NA,NA,facultative,TRUE
worthens_sparrow,NA,NA,shrub; grasslands,NA,NA,Grasslands:  Chihuahuan,NA,NA,NA,NA,facultative grassland,facultative,TRUE
yellow_bellied_elaenia,NA,NA,forest; woodland; shrub; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
yellow_bellied_sapsucker,Forests,NA,forest; woodland; grasslands; artificial,NA,NA,Forests:  Boreal; Forests:  Temperate Eastern; Forests:  Temperate Generalist,NA,NA,NA,NA,NA,facultative,TRUE
yellow_bellied_seedeater,NA,NA,shrub; savannah; grasslands; artificial,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative grassland,facultative,TRUE
yellow_billed_cuckoo,Open Woodlands,NA,forest; woodland; shrub; riparian,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Dry; Forests:  Tropical Lowland Evergreen,shrubland,NA,NA,facultative grassland,NA,facultative,TRUE
yellow_billed_magpie,Open Woodlands,NA,woodland; shrub; savannah; artificial,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,NA,facultative,TRUE
yellow_breasted_chat,Scrub,NA,woodland; shrub,NA,NA,Forests:  Temperate Eastern; Forests:  Temperate Western; Forests:  Tropical Generalist,shrubland,NA,NA,facultative grassland,NA,facultative,TRUE
yellow_eyed_junco,Open Woodlands,NA,forest; woodland; shrub; grasslands; artificial,NA,NA,Forests:  Mesoamerican Highland; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,NA,facultative,TRUE
yellow_faced_grassquit,NA,NA,forest; shrub; grasslands; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative grassland,facultative,TRUE
yellow_headed_blackbird,Marshes,NA,grasslands; artificial; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
yellow_headed_caracara,NA,NA,woodland; shrub; savannah; grasslands; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic; Grasslands:  Tropical,NA,NA,NA,NA,NA,facultative,TRUE
yellow_rail,Marshes,NA,artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh,NA,NA,NA,NA,facultative grassland,facultative,TRUE
yellow_rumped_warbler,NA,NA,NA,NA,NA,Forests:  Boreal; Forests:  Temperate Western; Forests:  Generalist; Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
yellow_tyrannulet,NA,NA,forest; bamboo; woodland; shrub; artificial; riparian; coastal,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
yellow_warbler,Open Woodlands,NA,NA,NA,NA,Forests:  Temperate Generalist; Wetlands:  Generalist; Open Country:  Habitat Mosaic,shrubland,NA,NA,NA,NA,facultative,TRUE
zone_tailed_hawk,Forests,NA,forest; woodland; shrub; savannah; rocky_areas; artificial,NA,NA,Forests:  Tropical Generalist,NA,NA,NA,NA,NA,facultative,TRUE
