species,all_about_birds,article-classified,birdbase,birds_of_the_world,hand_entered,partners_in_flight,peterjohn_2006,shrub; forest,traitdata,vgbi,vickery_1999,analysis_class,include
blue_winged_teal,Marshes,NA,forest; grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh,NA,NA,NA,NA,facultative grassland,facultative,TRUE
bluethroat,Tundra,NA,shrub; grasslands; riparian; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Wetlands:  Generalist,NA,NA,NA,NA,NA,facultative,TRUE
bobolink,Grasslands,NA,grasslands; artificial; wetlands_lakes_marsh,NA,NA,Grasslands:  Temperate; Grasslands:  Pampas and Campos; Grasslands:  Tropical,NA,NA,NA,NA,grassland obligate,obligate,TRUE
bonapartes_gull,Lakes and Ponds,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,NA,facultative,TRUE
botteris_sparrow,Grasslands,NA,shrub; grasslands,NA,NA,Grasslands:  Chihuahuan; Grasslands:  Tropical,NA,NA,NA,NA,grassland obligate,obligate,TRUE
bran_colored_flycatcher,NA,NA,bamboo; woodland; shrub; grasslands; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,NA,facultative,TRUE
brant,NA,NA,NA,NA,NA,Coasts:  Saltmarsh; Coasts:  Tundra; Coasts:  Marine Waters; Coasts:  Rocky Intertidal,NA,NA,NA,NA,facultative grassland,facultative,TRUE
breeding_grassland_species,NA,obligate,NA,NA,NA,NA,NA,NA,NA,NA,NA,obligate,TRUE
brewers_blackbird,Towns,NA,shrub; grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative grassland,facultative,TRUE
bridled_titmouse,Forests,NA,forest; grasslands; artificial; riparian,NA,NA,Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,NA,facultative,TRUE
bristle_thighed_curlew,NA,NA,shrub; grasslands; coastal; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Coasts:  Beach and Estuary,NA,NA,NA,NA,grassland obligate,obligate,TRUE
broad_tailed_hummingbird,Open Woodlands,NA,forest; woodland; shrub; grasslands; riparian,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,NA,facultative,TRUE
bronzed_cowbird,Towns,NA,forest; woodland; grasslands; desert; artificial,NA,NA,Open Country:  Habitat Mosaic; Forests:  Tropical Dry,NA,NA,NA,NA,facultative grassland,facultative,TRUE
brown_capped_rosy_finch,NA,NA,grasslands; rocky_areas; artificial; riparian; coastal,NA,NA,Tundra:  Alpine; Aridlands:  Sagebrush,NA,NA,NA,NA,facultative grassland,facultative,TRUE
brown_chested_martin,NA,NA,grasslands; artificial; riparian,NA,NA,Open Country Aerial:  Habitat Mosaic; Wetlands Aerial:  Lakes and Rivers,NA,NA,NA,NA,NA,facultative,TRUE
brown_headed_cowbird,Grasslands,NA,forest; woodland; grasslands; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
brown_thrasher,Scrub,NA,shrub; artificial,NA,NA,Forests:  Temperate Eastern,shrubland,NA,NA,facultative grassland,NA,facultative,TRUE
buff_breasted_sandpiper,NA,NA,grasslands; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Grasslands:  Pampas and Campos,NA,NA,NA,NA,grassland obligate,obligate,TRUE
bullocks_oriole,Open Woodlands,NA,woodland; grasslands; desert,NA,NA,Forests:  Temperate Western; Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,NA,facultative,TRUE
burrowing_owl,Grasslands,NA,savannah; grasslands; desert; artificial,NA,NA,Grasslands:  Temperate; Aridlands:  Desert Scrub,NA,NA,NA,NA,grassland obligate,obligate,TRUE
