species,species_group,article_classified,birdbase,birds_of_the_world,eubirds,hand_entered,partners_in_flight,peterjohn_2006,vickery_1999,analysis_class,include
akikiki,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
akohekohe,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
akun_eagle_owl,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
ala_shan_redstart,species,NA,shrub; rocky_areas,NA,NA,NA,NA,NA,NA,shrub,FALSE
alagoas_antwren,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
alagoas_curassow,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
alagoas_foliage_gleaner,species,NA,forest; woodland,NA,NA,NA,NA,NA,NA,woodland,FALSE
alagoas_tyrannulet,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
alaotra_grebe,species,NA,wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,other,TRUE
albertine_owlet,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
albertine_sooty_boubou,species,NA,forest; bamboo; savannah; riparian,NA,NA,NA,NA,NA,NA,facultative,TRUE
alberts_lyrebird,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
aldabra_brush_warbler,species,NA,shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
aldabra_drongo,species,NA,woodland; shrub; coastal,NA,NA,NA,NA,NA,NA,shrub,FALSE
aldabra_fody,species,NA,woodland; shrub; coastal,NA,NA,NA,NA,NA,NA,shrub,FALSE
aldabra_white_eye,species,NA,woodland; coastal,NA,NA,NA,NA,NA,NA,woodland,FALSE
alder_flycatcher,species,NA,woodland; shrub; grasslands,NA,NA,NA,Wetlands:  Boreal; Wetlands:  Forested; Forests:  Tropical Generalist,shrubland,NA,facultative,TRUE
aleutian_tern,species,NA,grasslands; rocky_areas; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,Coasts:  Beach and Estuary; Wetlands:  Freshwater Marsh; Coasts:  Marine Waters,NA,NA,facultative,TRUE
alexandrine_parakeet,species,NA,woodland; desert; artificial; coastal,NA,NA,NA,NA,NA,NA,woodland,FALSE
algerian_nuthatch,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
all_species,aggregate,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
allens_gallinule,species,NA,grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
allens_hummingbird,species,NA,forest; shrub; artificial; riparian,NA,NA,NA,Aridlands:  Chaparral; Forests:  Mesoamerican Pine-Oak,NA,NA,shrub,FALSE
allpahuayo_antbird,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
alor_boobook,species,NA,forest; woodland; shrub; artificial; coastal,NA,NA,NA,NA,NA,NA,shrub,FALSE
alor_myzomela,species,NA,woodland,NA,NA,NA,NA,NA,NA,woodland,FALSE
alpine_accentor,species,NA,woodland; shrub; rocky_areas; artificial,NA,mountain_meadows; rocks,NA,NA,NA,NA,shrub,FALSE
alpine_mannikin,species,NA,grasslands; rocky_areas,NA,NA,NA,NA,NA,NA,facultative,TRUE
alpine_pipit,species,NA,grasslands; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
alpine_swift,species,NA,plains; rocky_areas; artificial,NA,rocks; human_settlements,NA,NA,NA,NA,facultative,TRUE
alpine_thrush,species,NA,forest; shrub; grasslands; rocky_areas,NA,NA,NA,NA,NA,NA,facultative,TRUE
alströms_warbler,species,NA,forest; coastal,NA,NA,NA,NA,NA,NA,forest,FALSE
alta_floresta_antpitta,species,NA,forest; riparian,NA,NA,NA,NA,NA,NA,forest,FALSE
altai_accentor,species,NA,grasslands; rocky_areas,NA,NA,NA,NA,NA,NA,facultative,TRUE
altai_snowcock,species,NA,grasslands; plains,NA,NA,NA,NA,NA,NA,facultative,TRUE
altamira_oriole,species,NA,forest; woodland; shrub; savannah; wetlands_lakes_marsh,NA,NA,NA,Forests:  Tropical Dry,NA,NA,facultative,TRUE
altamira_yellowthroat,species,NA,riparian; wetlands_lakes_marsh,NA,NA,NA,Wetlands:  Freshwater Marsh,NA,NA,other,TRUE
amami_jay,species,NA,forest; woodland; artificial,NA,NA,NA,NA,NA,NA,woodland,FALSE
amami_thrush,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
amami_woodcock,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
amami_woodpecker,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
amani_sunbird,species,NA,forest; woodland; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
amaui,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
amazilia_hummingbird,species,NA,forest; shrub; plains; desert; artificial; coastal,NA,NA,NA,NA,NA,NA,facultative,TRUE
amazon_kingfisher,species,NA,shrub; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,Wetlands:  Generalist,NA,NA,shrub,FALSE
amazonian_antpitta,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
amazonian_antshrike,species,NA,forest; bamboo; woodland; shrub; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
amazonian_barred_woodcreeper,species,NA,forest; woodland; riparian; coastal,NA,NA,NA,NA,NA,NA,woodland,FALSE
amazonian_black_breasted_woodpecker,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
amazonian_black_throated_trogon,species,NA,forest; bamboo; riparian,NA,NA,NA,NA,NA,NA,forest,FALSE
amazonian_black_tyrant,species,NA,forest; shrub; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
amazonian_grey_elaenia,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
amazonian_grosbeak,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
amazonian_motmot,species,NA,forest; woodland; shrub; artificial; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
amazonian_parrotlet,species,NA,forest; riparian,NA,NA,NA,NA,NA,NA,forest,FALSE
amazonian_plain_xenops,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
amazonian_pygmy_owl,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
amazonian_royal_flycatcher,species,NA,forest; woodland; artificial; riparian,NA,NA,NA,NA,NA,NA,woodland,FALSE
amazonian_scrub_flycatcher,species,NA,forest; shrub; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
amazonian_streaked_antwren,species,NA,forest; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
amazonian_trogon,species,NA,forest; bamboo; woodland,NA,NA,NA,NA,NA,NA,woodland,FALSE
amazonian_tyrannulet,species,NA,forest; shrub; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
amazonian_umbrellabird,species,NA,forest; riparian,NA,NA,NA,NA,NA,NA,forest,FALSE
amazonian_woodhaunter,species,NA,forest; shrub; riparian,NA,NA,NA,NA,NA,NA,shrub,FALSE
amber_mountain_rock_thrush,species,NA,forest,NA,NA,NA,NA,NA,NA,forest,FALSE
ambon_white_eye,species,NA,forest; woodland; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
ameline_swiftlet,species,NA,forest; artificial,NA,NA,NA,NA,NA,NA,forest,FALSE
american_avocet,species,NA,coastal; wetlands_lakes_marsh,NA,NA,NA,Wetlands:  Freshwater Marsh; Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers,NA,NA,other,TRUE
american_barn_owl,species,NA,woodland; shrub; savannah; grasslands; rocky_areas; desert; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
american_bittern,species,NA,grasslands; wetlands_lakes_marsh,NA,NA,NA,Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh,NA,facultative,facultative,TRUE
american_black_duck,species,NA,forest; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,Wetlands:  Boreal; Coasts:  Saltmarsh; Wetlands:  Lakes and Rivers,NA,NA,forest,FALSE
american_black_oystercatcher,species,NA,rocky_areas; artificial; coastal,NA,NA,NA,NA,NA,NA,other,TRUE
american_black_vulture,species,NA,shrub; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,NA,NA,NA,NA,facultative,TRUE
american_bushtit,species,NA,forest; woodland; shrub; desert; riparian; coastal,NA,NA,NA,NA,NA,NA,shrub,FALSE
american_coot,species,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,Wetlands:  Freshwater Marsh; Wetlands:  Lakes and Rivers; Coasts:  Saltmarsh,NA,NA,other,TRUE
american_crow,species,NA,forest; woodland; shrub; savannah; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,facultative,TRUE
american_dipper,species,NA,riparian,NA,NA,NA,Wetlands:  Lakes and Rivers,NA,NA,other,TRUE
american_dusky_flycatcher,species,NA,forest; woodland; shrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
american_flamingo,species,NA,coastal; wetlands_lakes_marsh,NA,NA,NA,Coasts:  Beach and Estuary; Coasts:  Mangroves,NA,NA,other,TRUE
american_golden_plover,species,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,NA,Tundra:  Arctic; Grasslands:  Pampas and Campos,NA,obligate,obligate,TRUE
