species,source,classification,analysis
boreal_chickadee,all_about_birds,Forests,0
boreal_owl,all_about_birds,Forests,0
botteris_sparrow,all_about_birds,Grasslands,0
botteris_sparrow,hand_entered,obligate,0
botteris_sparrow,vickery_1999_obligate,grassland obligate,0
bran_colored_flycatcher,partners_in_flight,Open Country: Habitat Mosaic,0
bran_colored_flycatcher,hand_entered,facultative,0
brandts_cormorant,all_about_birds,Oceans,0
brant,vickery_1999_facultative,facultative grassland,0
brant_gadwall,hand_entered,facultative,0
brewers_blackbird,all_about_birds,Towns,1
brewers_blackbird,partners_in_flight,Open Country: Habitat Mosaic,1
brewers_blackbird,hand_entered,facultative,1
brewers_blackbird,vickery_1999_facultative,facultative grassland,1
brewers_sparrow,all_about_birds,Scrub,1
brewers_sparrow,partners_in_flight,Aridlands: Desert Scrub,1
bridled_titmouse,all_about_birds,Forests,1
bristle_thighed_curlew,hand_entered,obligate,0
bristle_thighed_curlew,vickery_1999_obligate,grassland obligate,0
broad_billed_hummingbird,all_about_birds,Forests,0
broad_billed_hummingbird,partners_in_flight,Aridlands: Tropical Arid Scrub,0
broad_tailed_hummingbird,all_about_birds,Open Woodlands,0
broad_winged_hawk,all_about_birds,Forests,0
bronzed_cowbird,all_about_birds,Towns,0
bronzed_cowbird,partners_in_flight,Open Country: Habitat Mosaic,0
bronzed_cowbird,hand_entered,facultative,0
bronzed_cowbird,vickery_1999_facultative,facultative grassland,0
brown_capped_rosy_finch,hand_entered,facultative,0
brown_capped_rosy_finch,vickery_1999_facultative,facultative grassland,0
brown_chested_martin,partners_in_flight,Open Country Aerial: Habitat Mosaic,0
brown_chested_martin,hand_entered,facultative,0
brown_creeper,all_about_birds,Forests,0
brown_crested_flycatcher,all_about_birds,Forests,0
brown_headed_cowbird,all_about_birds,Grasslands,1
brown_headed_cowbird,partners_in_flight,Open Country: Habitat Mosaic,1
brown_headed_cowbird,hand_entered,facultative,1
brown_headed_cowbird,vgbi,facultative grassland,1
brown_headed_cowbird,vickery_1999_facultative,facultative grassland,1
brown_headed_nuthatch,all_about_birds,Forests,0
brown_pelican,all_about_birds,Oceans,0
brown_thrasher,all_about_birds,Scrub,1
brown_thrasher,peterjohn_2006,shrubland,1
brown_thrasher,hand_entered,facultative,1
brown_thrasher,vgbi,facultative grassland,1
buff_bellied_hummingbird,all_about_birds,Open Woodlands,0
buff_breasted_sandpiper,hand_entered,obligate,0
buff_breasted_sandpiper,vickery_1999_obligate,grassland obligate,0
bufflehead,all_about_birds,Lakes and Ponds,0
bullocks_oriole,all_about_birds,Open Woodlands,1
burrowing_owl,all_about_birds,Grasslands,1
burrowing_owl,partners_in_flight,Aridlands: Desert Scrub,1
burrowing_owl,hand_entered,obligate,1
burrowing_owl,vickery_1999_obligate,grassland obligate,1
bushtit,all_about_birds,Scrub,1
cabaniss_ground_sparrow,partners_in_flight,Open Country: Habitat Mosaic,0
cabaniss_ground_sparrow,hand_entered,facultative,0
cabaniss_wren,partners_in_flight,Open Country: Habitat Mosaic,0
cabaniss_wren,hand_entered,facultative,0
cactus_wren,all_about_birds,Deserts,1
cactus_wren,partners_in_flight,Aridlands: Desert Scrub,1
california_gnatcatcher,all_about_birds,Scrub,0
california_gnatcatcher,partners_in_flight,Aridlands: Chaparral,0
california_gull,all_about_birds,Lakes and Ponds,0
california_quail,all_about_birds,Scrub,1
california_quail,partners_in_flight,Aridlands: Chaparral,1
california_scrub_jay,partners_in_flight,Aridlands: Chaparral,0
california_thrasher,all_about_birds,Scrub,0
california_thrasher,partners_in_flight,Aridlands: Chaparral,0
california_towhee,all_about_birds,Scrub,0
california_towhee,partners_in_flight,Aridlands: Chaparral,0
calliope_hummingbird,all_about_birds,Open Woodlands,1
canada_goose,all_about_birds,Marshes,0
canada_goose,hand_entered,facultative,0
canada_goose,vgbi,facultative grassland,0
canada_goose,vickery_1999_facultative,facultative grassland,0
canada_jay,all_about_birds,Forests,0
canada_warbler,all_about_birds,Forests,0
canebrake_wren,partners_in_flight,Open Country: Habitat Mosaic,0
canebrake_wren,hand_entered,facultative,0
canvasback,all_about_birds,Lakes and Ponds,0
canyon_towhee,all_about_birds,Scrub,1
canyon_towhee,partners_in_flight,Aridlands: Desert Scrub,1
canyon_towhee,hand_entered,facultative,1
canyon_towhee,vickery_1999_facultative,facultative grassland,1
canyon_wren,all_about_birds,Deserts,0
canyon_wren,partners_in_flight,Aridlands: Desert Scrub,0
cape_may_warbler,all_about_birds,Forests,0
caribbean_elaenia,partners_in_flight,Open Country: Habitat Mosaic,0
caribbean_elaenia,hand_entered,facultative,0
carolina_chickadee,all_about_birds,Forests,1
carolina_wren,all_about_birds,Open Woodlands,1
carolina_wren,peterjohn_2006,shrubland,1
caspian_tern,all_about_birds,Shorelines,0
cassins_finch,all_about_birds,Forests,0
cassins_kingbird,all_about_birds,Open Woodlands,0
cassins_kingbird,partners_in_flight,Open Country: Habitat Mosaic,0
cassins_kingbird,hand_entered,facultative,0
cassins_kingbird,vickery_1999_facultative,facultative grassland,0
cassins_sparrow,all_about_birds,Grasslands,1
cassins_sparrow,hand_entered,obligate,1
cassins_sparrow,vickery_1999_obligate,grassland obligate,1
cassins_vireo,all_about_birds,Forests,0
cattle_egret,all_about_birds,Grasslands,0
cattle_egret,hand_entered,facultative,0
cattle_egret,vickery_1999_facultative,facultative grassland,0
cattle_tyrant,partners_in_flight,Open Country: Developed/Disturbed,0
cave_swallow,all_about_birds,Grasslands,0
cave_swallow,partners_in_flight,Aridlands Aerial: Desert Scrub; Open Country Aerial: Habitat Mosaic,0
cedar_waxwing,all_about_birds,Open Woodlands,1
cerulean_warbler,all_about_birds,Forests,0
chestnut_backed_chickadee,all_about_birds,Forests,0
chestnut_collared_longspur,all_about_birds,Grasslands,1
chestnut_collared_longspur,hand_entered,obligate,1
chestnut_collared_longspur,vickery_1999_obligate,grassland obligate,1
chestnut_sided_warbler,all_about_birds,Open Woodlands,1
chestnut_sided_warbler,peterjohn_2006,shrubland,1
chihuahuan_raven,all_about_birds,Scrub,1
chihuahuan_raven,partners_in_flight,Aridlands: Desert Scrub; Open Country: Developed/Disturbed,1
chihuahuan_raven,hand_entered,facultative,1
chihuahuan_raven,vickery_1999_facultative,facultative grassland,1
chimney_swift,all_about_birds,Towns,0
chimney_swift,partners_in_flight,Open Country Aerial: Developed/Disturbed; Open Country Aerial: Habitat Mosaic,0
chimney_swift,hand_entered,facultative,0
chimney_swift,vgbi,facultative grassland,0
chipping_sparrow,all_about_birds,Open Woodlands,1
chipping_sparrow,partners_in_flight,Open Country: Habitat Mosaic,1
chipping_sparrow,hand_entered,facultative,1
chipping_sparrow,vgbi,facultative grassland,1
chuck_wills_widow,all_about_birds,Open Woodlands,0
chuck_wills_widow,partners_in_flight,Open Country: Habitat Mosaic,0
chuck_wills_widow,hand_entered,facultative,0
chukar,all_about_birds,Scrub,0
chukar,partners_in_flight,Aridlands: Desert Scrub,0
cinnamon_rumped_seedeater,partners_in_flight,Open Country: Developed/Disturbed,0
cinnamon_teal,all_about_birds,Marshes,0
clapper_rail,all_about_birds,Marshes,0
clarks_nutcracker,all_about_birds,Forests,0
clay_colored_sparrow,all_about_birds,Scrub,1
clay_colored_sparrow,partners_in_flight,Open Country: Habitat Mosaic,1
clay_colored_sparrow,hand_entered,facultative,1
clay_colored_sparrow,vickery_1999_facultative,facultative grassland,1
clay_colored_thrush,partners_in_flight,Open Country: Developed/Disturbed; Open Country: Habitat Mosaic,0
clay_colored_thrush,hand_entered,facultative,0
cliff_swallow,all_about_birds,Lakes and Ponds,1
cliff_swallow,partners_in_flight,Open Country Aerial: Habitat Mosaic,1
cliff_swallow,hand_entered,facultative,1
common_eider,all_about_birds,Oceans,0
common_gallinule,all_about_birds,Marshes,0
common_goldeneye,all_about_birds,Lakes and Ponds,0
common_grackle,all_about_birds,Open Woodlands,1
common_grackle,partners_in_flight,Open Country: Habitat Mosaic,1
common_grackle,hand_entered,facultative,1
common_ground_dove,all_about_birds,Scrub,0
common_ground_dove,partners_in_flight,Aridlands: Desert Scrub,0
common_ground_dove,hand_entered,facultative,0
common_ground_dove,vickery_1999_facultative,facultative grassland,0
common_loon,all_about_birds,Lakes and Ponds,0
common_merganser,all_about_birds,Lakes and Ponds,0
common_myna,partners_in_flight,Open Country: Developed/Disturbed,0
common_nighthawk,all_about_birds,Grasslands,1
common_nighthawk,partners_in_flight,Open Country Aerial: Habitat Mosaic,1
common_nighthawk,hand_entered,facultative,1
common_nighthawk,vgbi,facultative grassland,1
common_nighthawk,vickery_1999_facultative,facultative grassland,1
common_pauraque,all_about_birds,Forests,0
common_poorwill,all_about_birds,Scrub,0
common_poorwill,partners_in_flight,Aridlands: Desert Scrub,0
common_poorwill,hand_entered,facultative,0
common_poorwill,vickery_1999_facultative,facultative grassland,0
common_quail,palearctic_extension,facultative grassland,1
common_raven,all_about_birds,Forests,1
common_raven,partners_in_flight,Open Country: Habitat Mosaic,1
common_raven,hand_entered,facultative,1
common_redpoll,all_about_birds,Open Woodlands,0
common_redpoll,partners_in_flight,Open Country: Habitat Mosaic,0
common_redpoll,hand_entered,facultative,0
common_snipe,vickery_1999_facultative,facultative grassland,0
common_snipe_wilsons_phalarope,hand_entered,facultative,0
common_tern,all_about_birds,Shorelines,0
common_tody_flycatcher,partners_in_flight,Open Country: Habitat Mosaic,0
common_tody_flycatcher,hand_entered,facultative,0
common_yellowthroat,all_about_birds,Scrub,1
common_yellowthroat,partners_in_flight,Open Country: Habitat Mosaic,1
common_yellowthroat,peterjohn_2006,shrubland,1
common_yellowthroat,hand_entered,facultative,1
common_yellowthroat,vgbi,facultative grassland,1
common_yellowthroat,vickery_1999_facultative,facultative grassland,1
connecticut_warbler,all_about_birds,Forests,0
coopers_hawk,all_about_birds,Forests,0
coopers_hawk,partners_in_flight,Open Country: Habitat Mosaic,0
coopers_hawk,hand_entered,facultative,0
coopers_hawk,vgbi,facultative grassland,0
corn_bunting,palearctic_extension,facultative grassland,1
corncrake,palearctic_extension,facultative grassland,1
costas_hummingbird,all_about_birds,Deserts,0
costas_hummingbird,partners_in_flight,Aridlands: Desert Scrub,0
couchs_kingbird,all_about_birds,Open Woodlands,0
couchs_kingbird,partners_in_flight,Open Country: Habitat Mosaic,0
couchs_kingbird,hand_entered,facultative,0
crested_bobwhite,partners_in_flight,Open Country: Habitat Mosaic,0
crested_bobwhite,hand_entered,facultative,0
crested_bobwhite,vickery_1999_facultative,facultative grassland,0
crested_caracara,all_about_birds,Scrub,0
crested_caracara,partners_in_flight,Open Country: Habitat Mosaic,0
crested_caracara,hand_entered,facultative,0
crested_caracara,vickery_1999_facultative,facultative grassland,0
crissal_thrasher,all_about_birds,Scrub,0
crissal_thrasher,partners_in_flight,Aridlands: Desert Scrub,0
curve_billed_thrasher,all_about_birds,Scrub,1
curve_billed_thrasher,partners_in_flight,Aridlands: Desert Scrub,1
dark_eyed_junco,partners_in_flight,Open Country: Habitat Mosaic,1
dark_eyed_junco,hand_entered,facultative,1
dark_eyed_junco,vgbi,facultative grassland,1
dickcissel,all_about_birds,Grasslands,1
dickcissel,hand_entered,obligate,1
dickcissel,vickery_1999_obligate,grassland obligate,1
double_crested_cormorant,all_about_birds,Lakes and Ponds,0
double_striped_thick_knee,hand_entered,obligate,0
double_striped_thick_knee,vickery_1999_obligate,grassland obligate,0
downy_woodpecker,all_about_birds,Forests,0
downy_woodpecker,hand_entered,facultative,0
downy_woodpecker,vgbi,facultative grassland,0
dunlin,hand_entered,facultative,0
dunlin,vickery_1999_facultative,facultative grassland,0
dusky_capped_flycatcher,all_about_birds,Forests,0
dusky_flycatcher,all_about_birds,Open Woodlands,1
dusky_grouse,all_about_birds,Forests,0
dwarf_vireo,partners_in_flight,Aridlands: Tropical Arid Scrub,0
eared_grebe,all_about_birds,Lakes and Ponds,0
eastern_bluebird,all_about_birds,Grasslands,1
