common_name,habitat
chipping sparrow,Open Woodlands
clay-colored sparrow,Scrub
brewers sparrow,Scrub
field sparrow,Scrub
black-chinned sparrow,Scrub
vesper sparrow,Grasslands
lark sparrow,Grasslands
black-throated sparrow,Scrub
lark bunting,Grasslands
savannah sparrow,Grasslands
grasshopper sparrow,Grasslands
bairds sparrow,Grasslands
henslows sparrow,Grasslands
lecontes sparrow,Grasslands
seaside sparrow,Marshes
nelsons sparrow,Marshes
saltmarsh sparrow,Marshes
fox sparrow,Forests
song sparrow,Open Woodlands
lincolns sparrow,Scrub
swamp sparrow,Marshes
white-throated sparrow,Forests
white-crowned sparrow,Scrub
golden-crowned sparrow,Scrub
yellow-eyed junco,Open Woodlands
yellow-breasted chat,Scrub
yellow-headed blackbird,Marshes
bobolink,Grasslands
eastern meadowlark,Grasslands
western meadowlark,Grasslands
orchard oriole,Open Woodlands
hooded oriole,Open Woodlands
bullocks oriole,Open Woodlands
spot-breasted oriole,Towns
altamira oriole,Open Woodlands
audubons oriole,Open Woodlands
baltimore oriole,Forests
scotts oriole,Open Woodlands
red-winged blackbird,Marshes
tricolored blackbird,Marshes
bronzed cowbird,Towns
brown-headed cowbird,Grasslands
rusty blackbird,Forests
brewers blackbird,Towns
common grackle,Open Woodlands
boat-tailed grackle,Marshes
great-tailed grackle,Scrub
ovenbird,Forests
worm-eating warbler,Forests
louisiana waterthrush,Rivers and Streams
northern waterthrush,Forests
golden-winged warbler,Open Woodlands
blue-winged warbler,Open Woodlands
black-and-white warbler,Forests
prothonotary warbler,Forests
swainsons warbler,Forests
tennessee warbler,Forests
orange-crowned warbler,Forests
lucys warbler,Scrub
nashville warbler,Forests
virginias warbler,Open Woodlands
connecticut warbler,Forests
macgillivrays warbler,Open Woodlands
mourning warbler,Forests
kentucky warbler,Forests
common yellowthroat,Scrub
hooded warbler,Forests
american redstart,Forests
kirtlands warbler,Scrub
cape may warbler,Forests
cerulean warbler,Forests
northern parula,Forests
magnolia warbler,Forests
bay-breasted warbler,Forests
blackburnian warbler,Forests
yellow warbler,Open Woodlands
chestnut-sided warbler,Open Woodlands
blackpoll warbler,Forests
black-throated blue warbler,Forests
palm warbler,Open Woodlands
pine warbler,Forests
yellow-throated warbler,Forests
prairie warbler,Scrub
graces warbler,Forests
black-throated gray warbler,Forests
townsends warbler,Forests
hermit warbler,Forests
golden-cheeked warbler,Forests
black-throated green warbler,Forests
canada warbler,Forests
wilsons warbler,Scrub
red-faced warbler,Forests
painted redstart,Forests
hepatic tanager,Forests
summer tanager,Open Woodlands
scarlet tanager,Forests
western tanager,Forests
northern cardinal,Open Woodlands
pyrrhuloxia,Scrub
rose-breasted grosbeak,Forests
black-headed grosbeak,Forests
blue grosbeak,Open Woodlands
lazuli bunting,Open Woodlands
indigo bunting,Open Woodlands
varied bunting,Scrub
painted bunting,Scrub
dickcissel,Grasslands
