species,habitat
cinnamon_hummingbird,Forests:  Tropical Dry
buff_bellied_hummingbird,Forests:  Tropical Dry
escudo_hummingbird,Forests:  Tropical Lowland Evergreen
rufous_tailed_hummingbird,Forests:  Tropical Lowland Evergreen
honduran_emerald,Forests:  Tropical Dry
mangrove_hummingbird,Coasts:  Mangroves
sapphire_throated_hummingbird,Forests:  Tropical Lowland Evergreen
humboldts_sapphire,Forests:  Tropical Lowland Evergreen
blue_chested_hummingbird,Forests:  Tropical Lowland Evergreen
charming_hummingbird,Forests:  Tropical Lowland Evergreen
white_bellied_emerald,Forests:  Tropical Lowland Evergreen
blue_throated_goldentail,Forests:  Tropical Lowland Evergreen; Forests:  Tropical Dry
violet_bellied_hummingbird,Forests:  Tropical Lowland Evergreen
colombian_crake,Grasslands:  Tropical; Wetlands:  Seasonally Wet Grasslands
paint_billed_crake,Grasslands:  Tropical; Wetlands:  Seasonally Wet Grasslands
spotted_rail,Wetlands:  Freshwater Marsh
uniform_crake,Forests:  Tropical Lowland Evergreen; Wetlands:  Forested
rufous_necked_wood_rail,Coasts:  Mangroves; Forests:  Tropical Lowland Evergreen
russet_naped_wood_rail,Wetlands:  Generalist
gray_cowled_wood_rail,Wetlands:  Generalist
ridgways_rail,Coasts:  Saltmarsh; Wetlands:  Freshwater Marsh
aztec_rail,Wetlands:  Freshwater Marsh
mangrove_rail,Coasts:  Saltmarsh; Coasts:  Mangroves
king_rail,Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh
clapper_rail,Coasts:  Saltmarsh
virginia_rail,Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh
sora,Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh
american_avocet,Wetlands:  Freshwater Marsh; Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers
american_oystercatcher,Coasts:  Beach and Estuary
black_oystercatcher,Coasts:  Rocky Intertidal
southern_lapwing,Open Country:  Developed/Disturbed
black_bellied_plover,Wetlands:  Tundra; Tundra:  Arctic; Coasts:  Beach and Estuary
american_golden_plover,Tundra:  Arctic; Grasslands:  Pampas and Campos
pacific_golden_plover,Wetlands:  Tundra; Coasts:  Beach and Estuary
killdeer,Open Country:  Habitat Mosaic; Wetlands:  Generalist
common_ringed_plover,Wetlands:  Tundra; Coasts:  Beach and Estuary
semipalmated_plover,Coasts:  Beach and Estuary; Tundra:  Arctic
piping_plover,Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers
wilsons_plover,Coasts:  Beach and Estuary
collared_plover,Wetlands:  Lakes and Rivers; Coasts:  Beach and Estuary
mountain_plover,Grasslands:  Temperate; Grasslands:  Chihuahuan
snowy_plover,Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers
northern_jacana,Wetlands:  Freshwater Marsh
wattled_jacana,Wetlands:  Freshwater Marsh
upland_sandpiper,Grasslands:  Temperate; Grasslands:  Pampas and Campos
bristle_thighed_curlew,Tundra:  Arctic; Coasts:  Beach and Estuary
whimbrel,Tundra:  Arctic; Wetlands:  Boreal; Coasts:  Beach and Estuary; Coasts:  Saltmarsh
eskimo_curlew,Tundra:  Arctic; Grasslands:  Pampas and Campos
long_billed_curlew,Grasslands:  Temperate; Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers
bar_tailed_godwit,Tundra:  Arctic; Coasts:  Beach and Estuary
hudsonian_godwit,Wetlands:  Boreal; Coasts:  Beach and Estuary
marbled_godwit,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Tundra; Coasts:  Beach and Estuary
stilt_sandpiper,Wetlands:  Tundra; Tundra:  Arctic; Wetlands:  Lakes and Rivers; Wetlands:  Seasonally Wet Grasslands
sanderling,Tundra:  Arctic; Wetlands:  Tundra; Coasts:  Beach and Estuary
dunlin,Wetlands:  Tundra; Coasts:  Tundra; Coasts:  Beach and Estuary; Wetlands:  Seasonally Wet Grasslands
rock_sandpiper,Tundra:  Arctic; Wetlands:  Tundra; Coasts:  Rocky Intertidal
buff_breasted_sandpiper,Tundra:  Arctic; Grasslands:  Pampas and Campos
pectoral_sandpiper,Wetlands:  Tundra; Grasslands:  Pampas and Campos; Wetlands:  Seasonally Wet Grasslands
semipalmated_sandpiper,Wetlands:  Tundra; Coasts:  Beach and Estuary
western_sandpiper,Wetlands:  Tundra; Coasts:  Beach and Estuary; Wetlands:  Seasonally Wet Grasslands
short_billed_dowitcher,Wetlands:  Boreal; Coasts:  Beach and Estuary
long_billed_dowitcher,Wetlands:  Tundra; Wetlands:  Generalist
american_woodcock,Forests:  Temperate Eastern; Forests:  Boreal
wilsons_snipe,Wetlands:  Generalist
spotted_sandpiper,Wetlands:  Generalist; Wetlands:  Lakes and Rivers
solitary_sandpiper,Wetlands:  Boreal; Wetlands:  Lakes and Rivers
wandering_tattler,Tundra:  Alpine; Wetlands:  Tundra; Coasts:  Beach and Estuary
lesser_yellowlegs,Wetlands:  Boreal; Wetlands:  Generalist
willet,Wetlands:  Seasonally Wet Grasslands; Coasts:  Saltmarsh; Coasts:  Beach and Estuary
greater_yellowlegs,Wetlands:  Boreal; Wetlands:  Generalist
wilsons_phalarope,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Wetlands:  Lakes and Rivers
red_necked_phalarope,Wetlands:  Tundra; Oceans:  Pelagic; Coasts:  Marine Waters
red_phalarope,Wetlands:  Tundra; Oceans:  Pelagic; Coasts:  Marine Waters
great_skua,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Oceans:  Pelagic
south_polar_skua,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Oceans:  Pelagic
pomarine_jaeger,Wetlands:  Tundra; Oceans:  Pelagic
parasitic_jaeger,Wetlands:  Tundra; Tundra:  Arctic; Oceans:  Pelagic; Coasts:  Marine Waters
long_tailed_jaeger,Tundra:  Arctic; Tundra:  Alpine; Oceans:  Pelagic
black_capped_swallow,Forest Aerial:  Mesoamerican Pine-Oak
white_thighed_swallow,Forest Aerial:  Tropical Lowland Evergreen
blue_and_white_swallow,Open Country Aerial:  Habitat Mosaic; Open Country Aerial:  Developed/Disturbed
northern_rough_winged_swallow,Open Country Aerial:  Habitat Mosaic; Wetlands Aerial:  Lakes and Rivers
southern_rough_winged_swallow,Open Country Aerial:  Habitat Mosaic
brown_chested_martin,Open Country Aerial:  Habitat Mosaic; Wetlands Aerial:  Lakes and Rivers
purple_martin,Open Country Aerial:  Habitat Mosaic; Wetlands Aerial:  Lakes and Rivers
gray_breasted_martin,Open Country Aerial:  Habitat Mosaic; Open Country Aerial:  Developed/Disturbed
sinaloa_martin,Forest Aerial:  Mesoamerican Pine-Oak; Unknown
barn_swallow,Open Country Aerial:  Habitat Mosaic
cliff_swallow,Open Country Aerial:  Habitat Mosaic
cave_swallow,Aridlands Aerial:  Desert Scrub; Open Country Aerial:  Habitat Mosaic
bushtit,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak
arctic_warbler,Tundra:  Arctic; Forests:  Tropical Generalist
wrentit,Aridlands:  Chaparral
ruby_crowned_kinglet,Forests:  Boreal; Forests:  Temperate Western; Forests:  Temperate Generalist
golden_crowned_kinglet,Forests:  Boreal; Forests:  Temperate Western; Forests:  Temperate Generalist
bohemian_waxwing,Forests:  Boreal
cedar_waxwing,Forests:  Temperate Generalist
black_and_yellow_silky_flycatcher,Forests:  Tropical Montane Evergreen
pygmy_nuthatch,Forests:  Temperate Western; Forests:  Mesoamerican Highland
brown_headed_nuthatch,Forests:  Temperate Eastern
brown_creeper,Forests:  Temperate Generalist
long_billed_gnatwren,Forests:  Tropical Lowland Evergreen
tawny_faced_gnatwren,Forests:  Tropical Lowland Evergreen
slate_throated_gnatcatcher,Forests:  Tropical Lowland Evergreen
yucatan_gnatcatcher,Forests:  Tropical Dry
white_browed_gnatcatcher,Forests:  Tropical Generalist
blue_gray_gnatcatcher,Forests:  Generalist
rock_wren,Aridlands:  Desert Scrub
nightingale_wren,Forests:  Tropical Lowland Evergreen
scaly_breasted_wren,Forests:  Tropical Lowland Evergreen
canyon_wren,Aridlands:  Desert Scrub
sumichrasts_wren,Forests:  Tropical Lowland Evergreen
white_breasted_wood_wren,Forests:  Tropical Lowland Evergreen
gray_breasted_wood_wren,Forests:  Tropical Montane Evergreen; Forests:  Mesoamerican Highland
song_wren,Forests:  Tropical Lowland Evergreen
white_bellied_wren,Forests:  Tropical Lowland Evergreen; Forests:  Tropical Dry
rufous_and_white_wren,Forests:  Tropical Dry
cactus_wren,Aridlands:  Desert Scrub
bewicks_wren,Aridlands:  Desert Scrub; Forests:  Temperate Western
carolina_wren,Forests:  Temperate Eastern
house_wren,Forests:  Generalist; Open Country:  Developed/Disturbed; Open Country:  Habitat Mosaic
socorro_wren,Islands:  Terrestrial Habitats
clarion_wren,Islands:  Terrestrial Habitats
rufous_browed_wren,Forests:  Tropical Montane Evergreen
ochraceous_wren,Forests:  Tropical Montane Evergreen
pacific_wren,Forests:  Temperate Western
winter_wren,Forests:  Boreal; Forests:  Temperate Eastern
sedge_wren,Grasslands:  Temperate; Wetlands:  Seasonally Wet Grasslands
grass_wren,Wetlands:  Seasonally Wet Grasslands; Grasslands:  Pampas and Campos
marsh_wren,Wetlands:  Freshwater Marsh; Wetlands:  Generalist; Coasts:  Saltmarsh
timberline_wren,Tundra:  Paramo
blue_mockingbird,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
blue_and_white_mockingbird,Forests:  Tropical Montane Evergreen; Forests:  Mesoamerican Pine-Oak
black_catbird,Forests:  Tropical Dry
gray_catbird,Forests:  Temperate Eastern; Forests:  Temperate Western; Forests:  Tropical Generalist
curve_billed_thrasher,Aridlands:  Desert Scrub
ocellated_thrasher,Aridlands:  Desert Scrub; Forests:  Mesoamerican Pine-Oak
brown_thrasher,Forests:  Temperate Eastern
long_billed_thrasher,Forests:  Tropical Dry
cozumel_thrasher,Forests:  Tropical Dry
bendires_thrasher,Aridlands:  Desert Scrub
mountain_thrush,Forests:  Tropical Montane Evergreen
pale_vented_thrush,Forests:  Tropical Montane Evergreen
clay_colored_thrush,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed
white_throated_thrush,Forests:  Tropical Generalist
rufous_backed_robin,Forests:  Tropical Dry
rufous_collared_robin,Forests:  Mesoamerican Pine-Oak
american_robin,Forests:  Temperate Generalist
varied_thrush,Forests:  Temperate Western
aztec_thrush,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
bluethroat,Tundra:  Arctic; Wetlands:  Generalist
northern_wheatear,Tundra:  Arctic; Tundra:  Alpine; Open Country:  Habitat Mosaic
olive_warbler,Forests:  Mesoamerican Highland; Forests:  Mesoamerican Pine-Oak
scaly_breasted_munia,Open Country:  Developed/Disturbed
tricolored_munia,Open Country:  Developed/Disturbed
house_sparrow,Open Country:  Developed/Disturbed
eurasian_tree_sparrow,Open Country:  Developed/Disturbed
eastern_yellow_wagtail,Tundra:  Arctic; Open Country:  Habitat Mosaic
white_wagtail,Coasts:  Cliffs and Islands; Wetlands:  Lakes and Rivers; Open Country:  Habitat Mosaic
red_throated_pipit,Tundra:  Arctic; Wetlands:  Seasonally Wet Grasslands
american_pipit,Tundra:  Alpine; Tundra:  Arctic; Open Country:  Developed/Disturbed; Coasts:  Beach and Estuary
spragues_pipit,Grasslands:  Temperate; Grasslands:  Chihuahuan
yellowish_pipit,Grasslands:  Tropical
elegant_euphonia,Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Montane Evergreen
blue_crowned_chlorophonia,Forests:  Tropical Montane Evergreen
golden_browed_chlorophonia,Forests:  Tropical Montane Evergreen
west_mexican_euphonia,Forests:  Tropical Dry; Open Country:  Habitat Mosaic
scrub_euphonia,Forests:  Tropical Dry
yellow_crowned_euphonia,Forests:  Tropical Lowland Evergreen
white_vented_euphonia,Forests:  Tropical Lowland Evergreen
yellow_throated_euphonia,Forests:  Tropical Lowland Evergreen
brown_capped_rosy_finch,Tundra:  Alpine; Aridlands:  Sagebrush
house_finch,Open Country:  Habitat Mosaic; Aridlands:  Desert Scrub
purple_finch,Forests:  Boreal; Forests:  Temperate Western; Forests:  Temperate Eastern
cassins_finch,Forests:  Temperate Western
common_redpoll,Tundra:  Arctic; Forests:  Boreal; Open Country:  Habitat Mosaic
hoary_redpoll,Tundra:  Arctic; Open Country:  Habitat Mosaic
red_crossbill,Forests:  Temperate Generalist
cassia_crossbill,Forests:  Temperate Western
white_winged_crossbill,Forests:  Boreal; Forests:  Temperate Western
pine_siskin,Forests:  Boreal; Forests:  Temperate Western; Forests:  Temperate Generalist
american_goldfinch,Open Country:  Habitat Mosaic
rosy_thrush_tanager,Forests:  Tropical Dry
lapland_longspur,Tundra:  Arctic; Open Country:  Developed/Disturbed; Coasts:  Beach and Estuary
chestnut_collared_longspur,Grasslands:  Temperate; Grasslands:  Chihuahuan
smiths_longspur,Tundra:  Arctic; Grasslands:  Temperate
thick_billed_longspur,Grasslands:  Temperate; Grasslands:  Chihuahuan
snow_bunting,Tundra:  Arctic; Open Country:  Developed/Disturbed; Coasts:  Beach and Estuary
mc_kays_bunting,Tundra:  Arctic; Coasts:  Saltmarsh; Coasts:  Beach and Estuary
yellow_throated_chlorospingus,Forests:  Tropical Montane Evergreen
ashy_throated_chlorospingus,Forests:  Tropical Montane Evergreen
sooty_capped_chlorospingus,Forests:  Tropical Montane Evergreen
common_chlorospingus,Forests:  Tropical Montane Evergreen
tacarcuna_chlorospingus,Forests:  Tropical Montane Evergreen
pirre_chlorospingus,Forests:  Tropical Montane Evergreen
rufous_winged_sparrow,Aridlands:  Desert Scrub
cinnamon_tailed_sparrow,Forests:  Tropical Dry
stripe_headed_sparrow,Forests:  Tropical Dry
black_chested_sparrow,Forests:  Tropical Dry
bridled_sparrow,Forests:  Tropical Dry
botteris_sparrow,Grasslands:  Chihuahuan; Grasslands:  Tropical
cassins_sparrow,Grasslands:  Temperate; Grasslands:  Chihuahuan
bachmans_sparrow,Forests:  Temperate Eastern
grasshopper_sparrow,Grasslands:  Temperate; Grasslands:  Chihuahuan
olive_sparrow,Forests:  Tropical Dry
green_backed_sparrow,Forests:  Tropical Lowland Evergreen
black_striped_sparrow,Forests:  Tropical Lowland Evergreen
five_striped_sparrow,Forests:  Tropical Dry; Aridlands:  Desert Scrub
black_throated_sparrow,Aridlands:  Desert Scrub
lark_sparrow,Open Country:  Habitat Mosaic
lark_bunting,Grasslands:  Temperate; Grasslands:  Chihuahuan; Aridlands:  Desert Scrub
chipping_sparrow,Forests:  Temperate Generalist; Open Country:  Habitat Mosaic
clay_colored_sparrow,Grasslands:  Temperate; Open Country:  Habitat Mosaic; Grasslands:  Chihuahuan
black_chinned_sparrow,Aridlands:  Chaparral; Aridlands:  Desert Scrub
field_sparrow,Open Country:  Habitat Mosaic; Forests:  Temperate Eastern
brewers_sparrow,Aridlands:  Sagebrush; Aridlands:  Desert Scrub
worthens_sparrow,Grasslands:  Chihuahuan
costa_rican_brushfinch,Forests:  Tropical Lowland Evergreen
orange_billed_sparrow,Forests:  Tropical Lowland Evergreen
green_striped_brushfinch,Forests:  Mesoamerican Highland
chestnut_capped_brushfinch,Forests:  Tropical Montane Evergreen
sooty_faced_finch,Forests:  Tropical Montane Evergreen
fox_sparrow,Forests:  Boreal; Forests:  Temperate Western; Forests:  Temperate Eastern; Aridlands:  Chaparral
american_tree_sparrow,Tundra:  Arctic; Forests:  Boreal; Open Country:  Habitat Mosaic
volcano_junco,Tundra:  Paramo
guadalupe_junco,Islands:  Terrestrial Habitats
dark_eyed_junco,Forests:  Temperate Generalist; Open Country:  Habitat Mosaic
yellow_eyed_junco,Forests:  Mesoamerican Highland; Forests:  Mesoamerican Pine-Oak
bairds_junco,Forests:  Mesoamerican Pine-Oak
rufous_collared_sparrow,Open Country:  Developed/Disturbed; Forests:  Tropical Montane Evergreen
white_crowned_sparrow,Tundra:  Arctic; Forests:  Boreal; Open Country:  Habitat Mosaic
golden_crowned_sparrow,Tundra:  Alpine; Forests:  Temperate Western; Open Country:  Habitat Mosaic
harriss_sparrow,Tundra:  Arctic; Forests:  Boreal; Forests:  Temperate Eastern; Grasslands:  Temperate
white_throated_sparrow,Forests:  Boreal; Forests:  Temperate Eastern
bells_sparrow,Aridlands:  Chaparral; Aridlands:  Desert Scrub
sagebrush_sparrow,Aridlands:  Sagebrush; Aridlands:  Desert Scrub
striped_sparrow,Grasslands:  Tropical
vesper_sparrow,Grasslands:  Temperate; Grasslands:  Chihuahuan
le_contes_sparrow,Wetlands:  Seasonally Wet Grasslands; Grasslands:  Temperate
seaside_sparrow,Coasts:  Saltmarsh
nelsons_sparrow,Wetlands:  Seasonally Wet Grasslands; Coasts:  Saltmarsh
saltmarsh_sparrow,Coasts:  Saltmarsh
bairds_sparrow,Grasslands:  Temperate; Grasslands:  Chihuahuan
henslows_sparrow,Grasslands:  Temperate; Forests:  Temperate Eastern
savannah_sparrow,Grasslands:  Temperate; Tundra:  Arctic; Open Country:  Developed/Disturbed; Coasts:  Saltmarsh
rufous_capped_brushfinch,Forests:  Mesoamerican Pine-Oak
white_naped_brushfinch,Forests:  Tropical Montane Evergreen
yellow_thighed_brushfinch,Forests:  Tropical Montane Evergreen
yellow_green_brushfinch,Forests:  Tropical Montane Evergreen
wrenthrush,Forests:  Tropical Montane Evergreen
western_spindalis,Islands:  Terrestrial Habitats
yellow_breasted_chat,Forests:  Temperate Eastern; Forests:  Temperate Western; Forests:  Tropical Generalist
yellow_headed_blackbird,Wetlands:  Freshwater Marsh; Open Country:  Habitat Mosaic
bobolink,Grasslands:  Temperate; Grasslands:  Pampas and Campos; Grasslands:  Tropical
chihuahuan_meadowlark,Grasslands:  Temperate
eastern_meadowlark,Grasslands:  Temperate; Grasslands:  Tropical
western_meadowlark,Grasslands:  Temperate; Grasslands:  Chihuahuan
red_breasted_meadowlark,Open Country:  Developed/Disturbed
yellow_billed_cacique,Forests:  Tropical Lowland Evergreen; Forests:  Tropical Montane Evergreen
yellow_winged_cacique,Forests:  Tropical Dry
crested_oropendola,Forests:  Tropical Lowland Evergreen
chestnut_headed_oropendola,Forests:  Tropical Lowland Evergreen
montezuma_oropendola,Forests:  Tropical Lowland Evergreen
black_oropendola,Forests:  Tropical Lowland Evergreen
scarlet_rumped_cacique,Forests:  Tropical Montane Evergreen
yellow_rumped_cacique,Forests:  Tropical Lowland Evergreen
black_vented_oriole,Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak
bar_winged_oriole,Forests:  Tropical Dry
black_cowled_oriole,Forests:  Tropical Lowland Evergreen
orchard_oriole,Forests:  Temperate Eastern; Forests:  Tropical Generalist
hooded_oriole,Forests:  Generalist
yellow_backed_oriole,Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak
orange_crowned_oriole,Forests:  Tropical Dry
yellow_tailed_oriole,Forests:  Tropical Lowland Evergreen
streak_backed_oriole,Forests:  Tropical Dry
bullocks_oriole,Forests:  Temperate Western; Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak
orange_oriole,Forests:  Tropical Dry
spot_breasted_oriole,Forests:  Tropical Dry
altamira_oriole,Forests:  Tropical Dry
tricolored_blackbird,Wetlands:  Freshwater Marsh; Open Country:  Developed/Disturbed
shiny_cowbird,Open Country:  Habitat Mosaic
bronzed_cowbird,Open Country:  Habitat Mosaic; Forests:  Tropical Dry
brown_headed_cowbird,Open Country:  Habitat Mosaic
giant_cowbird,Open Country:  Habitat Mosaic
melodious_blackbird,Open Country:  Habitat Mosaic
rusty_blackbird,Wetlands:  Boreal; Wetlands:  Forested; Forests:  Temperate Eastern
brewers_blackbird,Open Country:  Habitat Mosaic
common_grackle,Open Country:  Habitat Mosaic
boat_tailed_grackle,Coasts:  Saltmarsh; Wetlands:  Freshwater Marsh
great_tailed_grackle,Open Country:  Developed/Disturbed
nicaraguan_grackle,Wetlands:  Freshwater Marsh
yellow_hooded_blackbird,Wetlands:  Freshwater Marsh
ovenbird,Forests:  Temperate Eastern; Forests:  Boreal; Forests:  Tropical Generalist; Coasts:  Mangroves
worm_eating_warbler,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen; Forests:  Tropical Dry
louisiana_waterthrush,Wetlands:  Lakes and Rivers; Forests:  Temperate Eastern; Forests:  Tropical Montane Evergreen
northern_waterthrush,Forests:  Boreal; Forests:  Temperate Eastern; Coasts:  Mangroves; Wetlands:  Forested
golden_winged_warbler,Forests:  Temperate Eastern; Forests:  Tropical Montane Evergreen
blue_winged_warbler,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen; Forests:  Tropical Dry
black_and_white_warbler,Forests:  Temperate Eastern; Forests:  Boreal; Forests:  Tropical Generalist; Coasts:  Mangroves
prothonotary_warbler,Wetlands:  Forested; Forests:  Temperate Eastern; Coasts:  Mangroves; Forests:  Tropical Dry
swainsons_warbler,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen; Forests:  Tropical Dry
crescent_chested_warbler,Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Montane Evergreen
flame_throated_warbler,Forests:  Tropical Montane Evergreen
tennessee_warbler,Forests:  Boreal; Forests:  Tropical Generalist
orange_crowned_warbler,Forests:  Temperate Western; Forests:  Boreal; Forests:  Generalist
colima_warbler,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
lucys_warbler,Aridlands:  Desert Riparian; Aridlands:  Desert Scrub; Forests:  Tropical Dry
nashville_warbler,Forests:  Boreal; Forests:  Temperate Western; Forests:  Tropical Generalist
virginias_warbler,Forests:  Temperate Western; Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak
connecticut_warbler,Forests:  Boreal; Forests:  Tropical Lowland Evergreen
gray_crowned_yellowthroat,Open Country:  Habitat Mosaic
mac_gillivrays_warbler,Forests:  Temperate Western; Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak
mourning_warbler,Forests:  Boreal; Forests:  Temperate Eastern; Forests:  Tropical Montane Evergreen; Forests:  Tropical Lowland Evergreen
kentucky_warbler,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen
olive_crowned_yellowthroat,Forests:  Tropical Montane Evergreen; Wetlands:  Freshwater Marsh
black_polled_yellowthroat,Wetlands:  Freshwater Marsh
beldings_yellowthroat,Wetlands:  Freshwater Marsh
altamira_yellowthroat,Wetlands:  Freshwater Marsh
common_yellowthroat,Open Country:  Habitat Mosaic; Wetlands:  Freshwater Marsh
hooded_yellowthroat,Aridlands:  Tropical Arid Scrub
hooded_warbler,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen
american_redstart,Forests:  Temperate Generalist; Forests:  Tropical Generalist; Coasts:  Mangroves
magnolia_warbler,Forests:  Boreal; Forests:  Temperate Eastern; Open Country:  Habitat Mosaic
bay_breasted_warbler,Forests:  Boreal; Forests:  Tropical Lowland Evergreen
blackburnian_warbler,Forests:  Boreal; Forests:  Temperate Eastern; Forests:  Tropical Montane Evergreen
yellow_warbler,Forests:  Temperate Generalist; Wetlands:  Generalist; Open Country:  Habitat Mosaic
chestnut_sided_warbler,Forests:  Boreal; Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen
blackpoll_warbler,Forests:  Boreal; Forests:  Tropical Lowland Evergreen
black_throated_blue_warbler,Forests:  Boreal; Forests:  Temperate Eastern; Islands:  Terrestrial Habitats; Coasts:  Mangroves
palm_warbler,Wetlands:  Boreal; Open Country:  Habitat Mosaic
pine_warbler,Forests:  Temperate Eastern
yellow_rumped_warbler,Forests:  Boreal; Forests:  Temperate Western; Forests:  Generalist; Open Country:  Habitat Mosaic
yellow_throated_warbler,Forests:  Temperate Eastern; Forests:  Tropical Generalist
vitelline_warbler,Islands:  Terrestrial Habitats
prairie_warbler,Forests:  Temperate Eastern; Islands:  Terrestrial Habitats; Coasts:  Mangroves
graces_warbler,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
black_throated_gray_warbler,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Dry
townsends_warbler,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
hermit_warbler,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
golden_cheeked_warbler,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
black_throated_green_warbler,Forests:  Boreal; Forests:  Temperate Eastern; Forests:  Tropical Montane Evergreen; Forests:  Tropical Lowland Evergreen
buff_rumped_warbler,Forests:  Tropical Lowland Evergreen; Wetlands:  Forested
fan_tailed_warbler,Forests:  Tropical Lowland Evergreen; Forests:  Tropical Dry
rufous_capped_warbler,Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak
chestnut_capped_warbler,Forests:  Tropical Dry
black_cheeked_warbler,Forests:  Tropical Montane Evergreen
pirre_warbler,Forests:  Tropical Montane Evergreen
golden_browed_warbler,Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Montane Evergreen
golden_crowned_warbler,Forests:  Tropical Lowland Evergreen
costa_rican_warbler,Forests:  Tropical Montane Evergreen
tacarcuna_warbler,Forests:  Tropical Montane Evergreen
canada_warbler,Forests:  Boreal; Forests:  Temperate Eastern; Forests:  Tropical Montane Evergreen
wilsons_warbler,Forests:  Boreal; Forests:  Temperate Western; Forests:  Tropical Generalist
red_faced_warbler,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
red_warbler,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
pink_headed_warbler,Forests:  Tropical Montane Evergreen
painted_redstart,Forests:  Mesoamerican Pine-Oak
slate_throated_redstart,Forests:  Mesoamerican Highland; Forests:  Tropical Montane Evergreen
collared_redstart,Forests:  Tropical Montane Evergreen
rose_throated_tanager,Forests:  Tropical Dry
hepatic_tanager,Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Montane Evergreen
summer_tanager,Forests:  Temperate Eastern; Forests:  Tropical Generalist
scarlet_tanager,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen
western_tanager,Forests:  Temperate Western; Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak
flame_colored_tanager,Forests:  Mesoamerican Pine-Oak
white_winged_tanager,Forests:  Tropical Montane Evergreen
red_headed_tanager,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland
red_crowned_ant_tanager,Forests:  Tropical Lowland Evergreen
red_throated_ant_tanager,Forests:  Tropical Lowland Evergreen
black_cheeked_ant_tanager,Forests:  Tropical Lowland Evergreen
carmiols_tanager,Forests:  Tropical Lowland Evergreen
lemon_spectacled_tanager,Forests:  Tropical Lowland Evergreen
black_faced_grosbeak,Forests:  Tropical Lowland Evergreen
yellow_green_grosbeak,Forests:  Tropical Lowland Evergreen
crimson_collared_grosbeak,Forests:  Tropical Dry
northern_cardinal,Open Country:  Habitat Mosaic; Aridlands:  Desert Scrub
pyrrhuloxia,Aridlands:  Desert Scrub
yellow_grosbeak,Forests:  Tropical Dry
black_thighed_grosbeak,Forests:  Tropical Montane Evergreen
rose_breasted_grosbeak,Forests:  Temperate Eastern; Forests:  Tropical Generalist
black_headed_grosbeak,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Dry
red_breasted_chat,Forests:  Tropical Dry
gray_throated_chat,Forests:  Tropical Dry
blue_seedeater,Forests:  Tropical Montane Evergreen
blue_black_grosbeak,Forests:  Tropical Lowland Evergreen
blue_bunting,Forests:  Tropical Dry
blue_grosbeak,Forests:  Temperate Eastern; Aridlands:  Desert Riparian; Open Country:  Habitat Mosaic
lazuli_bunting,Forests:  Temperate Western; Open Country:  Habitat Mosaic
