species,habitat
thick_billed_murre,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
razorbill,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
black_guillemot,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
pigeon_guillemot,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
marbled_murrelet,Forests:  Temperate Western; Coasts:  Marine Waters
kittlitzs_murrelet,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
scrippss_murrelet,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
guadalupe_murrelet,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
craveris_murrelet,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
ancient_murrelet,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
cassins_auklet,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
parakeet_auklet,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
least_auklet,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
whiskered_auklet,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
crested_auklet,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
rhinoceros_auklet,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
atlantic_puffin,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Oceans:  Pelagic
horned_puffin,Coasts:  Cliffs and Islands; Coasts:  Marine Waters
sabines_gull,Wetlands:  Tundra; Oceans:  Pelagic
bonapartes_gull,Wetlands:  Boreal; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers
black_headed_gull,Wetlands:  Generalist; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers
little_gull,Wetlands:  Freshwater Marsh; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers
rosss_gull,Wetlands:  Tundra; Coasts:  Marine Waters
laughing_gull,Coasts:  Beach and Estuary; Coasts:  Marine Waters
franklins_gull,Wetlands:  Freshwater Marsh; Coasts:  Beach and Estuary; Coasts:  Marine Waters
heermanns_gull,Coasts:  Beach and Estuary; Coasts:  Marine Waters
short_billed_gull,Wetlands:  Generalist; Coasts:  Beach and Estuary; Coasts:  Marine Waters
ring_billed_gull,Wetlands:  Generalist; Wetlands:  Lakes and Rivers; Coasts:  Beach and Estuary
western_gull,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Coasts:  Beach and Estuary
yellow_footed_gull,Coasts:  Beach and Estuary; Coasts:  Marine Waters
california_gull,Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters
herring_gull,Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters
iceland_gull,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Coasts:  Beach and Estuary
lesser_black_backed_gull,Coasts:  Beach and Estuary; Coasts:  Marine Waters
slaty_backed_gull,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Coasts:  Beach and Estuary
glaucous_winged_gull,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Coasts:  Beach and Estuary
glaucous_gull,Coasts:  Cliffs and Islands; Wetlands:  Tundra; Coasts:  Beach and Estuary; Coasts:  Marine Waters
great_black_backed_gull,Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters
brown_noddy,Islands:  Oceanic; Oceans:  Pelagic
black_noddy,Islands:  Oceanic; Oceans:  Pelagic
sooty_tern,Coasts:  Beach and Estuary; Islands:  Oceanic; Oceans:  Pelagic
bridled_tern,Islands:  Oceanic; Oceans:  Pelagic
aleutian_tern,Coasts:  Beach and Estuary; Wetlands:  Freshwater Marsh; Coasts:  Marine Waters
least_tern,Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers
gull_billed_tern,Coasts:  Beach and Estuary; Wetlands:  Freshwater Marsh
caspian_tern,Wetlands:  Lakes and Rivers; Coasts:  Beach and Estuary
black_tern,Wetlands:  Freshwater Marsh; Oceans:  Pelagic; Coasts:  Marine Waters
roseate_tern,Coasts:  Beach and Estuary; Coasts:  Marine Waters; Oceans:  Pelagic
common_tern,Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters
arctic_tern,Wetlands:  Tundra; Forests:  Boreal; Coasts:  Marine Waters; Oceans:  Pelagic
forsters_tern,Wetlands:  Freshwater Marsh; Coasts:  Beach and Estuary
royal_tern,Coasts:  Beach and Estuary; Coasts:  Marine Waters
