species,primary_habitat,habitat
hawaiian_duck,Wetland,artificial; riparian; coastal; wetlands_lakes_marsh
philippine_duck,Wetland,riparian; coastal; wetlands_lakes_marsh
indian_spot_billed_duck,Wetland,coastal; wetlands_lakes_marsh
eastern_spot_billed_duck,Wetland,coastal; wetlands_lakes_marsh
mallard,Wetland,artificial; riparian; coastal; wetlands_lakes_marsh
mottled_duck,Wetland,artificial; riparian; coastal; wetlands_lakes_marsh
american_black_duck,Wetland,forest; riparian; coastal; wetlands_lakes_marsh
mexican_duck,Wetland,forest; woodland; shrub; grasslands; artificial; riparian; wetlands_lakes_marsh
cape_teal,Wetland,riparian; coastal; wetlands_lakes_marsh
white_cheeked_pintail,Wetland,artificial; coastal; wetlands_lakes_marsh
red_billed_teal,Wetland,artificial; riparian; wetlands_lakes_marsh
yellow_billed_pintail,Wetland,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh
southern_pintail,Wetland,riparian; coastal; wetlands_lakes_marsh
northern_pintail,Wetland,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh
common_teal,Wetland,coastal; wetlands_lakes_marsh
green_winged_teal,Wetland,artificial; riparian; coastal; wetlands_lakes_marsh
yellow_billed_teal,Wetland,grasslands; riparian; coastal; wetlands_lakes_marsh
andean_teal,Wetland,riparian; wetlands_lakes_marsh
sunda_teal,Wetland,riparian; coastal; wetlands_lakes_marsh; pelagic
andaman_teal,Wetland,artificial; coastal; wetlands_lakes_marsh
mauritius_duck,Coastal,coastal
grey_teal,Wetland,riparian; coastal; wetlands_lakes_marsh
chestnut_teal,Coastal,artificial; riparian; coastal; wetlands_lakes_marsh
madagascar_teal,Wetland,forest; savannah; riparian; wetlands_lakes_marsh
brown_teal,Coastal,riparian; coastal; wetlands_lakes_marsh
auckland_teal,Coastal,riparian; coastal; wetlands_lakes_marsh
campbell_teal,Grassland,grasslands; coastal
marbled_duck,Wetland,wetlands_lakes_marsh
pink_headed_duck,Wetland,forest; grasslands; riparian; wetlands_lakes_marsh
red_crested_pochard,Wetland,riparian; coastal; wetlands_lakes_marsh
rosy_billed_pochard,Wetland,artificial; wetlands_lakes_marsh
southern_pochard,Wetland,artificial; wetlands_lakes_marsh
canvasback,Wetland,riparian; coastal; wetlands_lakes_marsh
redhead,Wetland,coastal; wetlands_lakes_marsh
common_pochard,Wetland,artificial; riparian; coastal; wetlands_lakes_marsh
hardhead,Wetland,artificial; coastal; wetlands_lakes_marsh
madagascar_pochard,Wetland,wetlands_lakes_marsh
baers_pochard,Wetland,riparian; coastal; wetlands_lakes_marsh
ferruginous_duck,Wetland,artificial; coastal; wetlands_lakes_marsh
new_zealand_scaup,Wetland,riparian; coastal; wetlands_lakes_marsh
ring_necked_duck,Wetland,forest; artificial; coastal; wetlands_lakes_marsh
tufted_duck,Wetland,artificial; riparian; coastal; wetlands_lakes_marsh
greater_scaup,Wetland,forest; grasslands; riparian; coastal; wetlands_lakes_marsh
lesser_scaup,Wetland,artificial; riparian; coastal; wetlands_lakes_marsh; pelagic
stellers_eider,Sea,rocky_areas; riparian; wetlands_lakes_marsh; pelagic
labrador_duck,Coastal,coastal; wetlands_lakes_marsh; pelagic
spectacled_eider,Coastal,riparian; coastal; wetlands_lakes_marsh; pelagic
king_eider,Sea,riparian; coastal; wetlands_lakes_marsh; pelagic
common_eider,Sea,rocky_areas; riparian; coastal; wetlands_lakes_marsh; pelagic
harlequin_duck,Riparian,rocky_areas; riparian; coastal
surf_scoter,Wetland,forest; coastal; wetlands_lakes_marsh; pelagic
velvet_scoter,Wetland,forest; grasslands; coastal; wetlands_lakes_marsh; pelagic
white_winged_scoter,Wetland,forest; rocky_areas; wetlands_lakes_marsh
siberian_scoter,Forest,forest; grasslands; rocky_areas; riparian; wetlands_lakes_marsh
common_scoter,Wetland,grasslands; riparian; coastal; wetlands_lakes_marsh; pelagic
black_scoter,Wetland,grasslands; wetlands_lakes_marsh
long_tailed_duck,Wetland,riparian; coastal; wetlands_lakes_marsh; pelagic
bufflehead,Wetland,artificial; riparian; coastal; wetlands_lakes_marsh
common_goldeneye,Wetland,riparian; coastal; wetlands_lakes_marsh
barrows_goldeneye,Wetland,riparian; coastal; wetlands_lakes_marsh
smew,Wetland,forest; grasslands; riparian; coastal; wetlands_lakes_marsh; pelagic
hooded_merganser,Wetland,riparian; coastal; wetlands_lakes_marsh
new_zealand_merganser,Wetland,riparian; coastal; wetlands_lakes_marsh
brazilian_merganser,Wetland,riparian; wetlands_lakes_marsh
goosander,Wetland,forest; riparian; coastal; wetlands_lakes_marsh
red_breasted_merganser,Wetland,grasslands; riparian; coastal; wetlands_lakes_marsh
scaly_sided_merganser,Riparian,forest; riparian; coastal; wetlands_lakes_marsh
black_headed_duck,Wetland,shrub; grasslands; wetlands_lakes_marsh
masked_duck,Wetland,artificial; coastal; wetlands_lakes_marsh
ruddy_duck,Wetland,coastal; wetlands_lakes_marsh
andean_duck,Wetland,wetlands_lakes_marsh
lake_duck,Wetland,wetlands_lakes_marsh
blue_billed_duck,Wetland,wetlands_lakes_marsh
maccoa_duck,Wetland,artificial; wetlands_lakes_marsh
white_headed_duck,Wetland,wetlands_lakes_marsh
musk_duck,Wetland,artificial; coastal; wetlands_lakes_marsh
australian_brushturkey,Forest,forest; woodland; artificial; riparian; coastal; wetlands_lakes_marsh
wattled_brushturkey,Forest,forest
waigeo_brushturkey,Forest,forest
red_billed_brushturkey,Forest,forest
yellow_legged_brushturkey,Forest,forest; riparian
red_legged_brushturkey,Forest,forest; rocky_areas
malleefowl,Forest,forest; woodland; shrub
maleo,Forest,forest; riparian; coastal; wetlands_lakes_marsh
moluccan_scrubfowl,Forest,forest; coastal
tongan_scrubfowl,Forest,forest; woodland; shrub; wetlands_lakes_marsh
micronesian_scrubfowl,Forest,forest; shrub; rocky_areas; artificial; coastal
nicobar_scrubfowl,Forest,forest; shrub; coastal
philippine_scrubfowl,Forest,forest; artificial; coastal
sula_scrubfowl,Forest,forest; bamboo; woodland; shrub; artificial; coastal
tanimbar_scrubfowl,Forest,forest
dusky_scrubfowl,Forest,forest; woodland; shrub; artificial; coastal; wetlands_lakes_marsh
biak_scrubfowl,Forest,forest; shrub
melanesian_scrubfowl,Forest,forest; shrub
vanuatu_scrubfowl,Forest,forest; shrub; artificial; coastal
new_guinea_scrubfowl,Forest,forest; wetlands_lakes_marsh
orange_footed_scrubfowl,Forest,forest; woodland; wetlands_lakes_marsh
plain_chachalaca,Shrub,forest; shrub; artificial; riparian; coastal
grey_headed_chachalaca,Shrub,forest; woodland; shrub; artificial; riparian
